system:index,LOCALITY_ID,bare_wet,built_wet,crops_wet,flooded_vegetation_wet,grass_wet,label_wet,shrub_and_scrub_wet,snow_and_ice_wet,trees_wet,water_wet,.geo
00000000000000000000,L10032189,0.036909354817455726,0.07652193554923165,0.07642436860296803,0.29759629657530795,0.13351501908645838,2.5845192674293784,0.09152284487766014,0.038856807145277464,0.0849448530428836,0.16366737074027898,"{""type"":""Polygon"",""coordinates"":[[[-82.4860743984633,43.04154873993632],[-82.48575335003513,43.041325759727606],[-82.48486595648505,43.041241057064894],[-82.48360850005282,43.041241063126115],[-82.4811248324182,43.04145061965956],[-82.47969784603278,43.041013600167425],[-82.47908700323777,43.04083976040641],[-82.47663895090874,43.04091552037566],[-82.4767057967455,43.041165260080696],[-82.47687526593813,43.04386303003754],[-82.47782952424869,43.04433569287093],[-82.47963100308999,43.04429553424979],[-82.48065214799144,43.04427323933499],[-82.48199434519374,43.04342600071598],[-82.48274346909913,43.04351518304506],[-82.48360850005282,43.04359990346359],[-82.48430415223531,43.0434750867081],[-82.48496856788536,43.04307819348168],[-82.48507109651554,43.04266797506134],[-82.48517362499354,43.04230676074694],[-82.48573550478793,43.04195896667158],[-82.4860743984633,43.04154873993632]]]}"
00000000000000000001,L1009347,0.05136220274451304,0.1210088847725491,0.066517162467303,0.16046186231361342,0.09562940310423804,1.8215269435781,0.06664056585937748,0.048014580350516395,0.09580115413837494,0.2945228706129724,"{""type"":""Polygon"",""coordinates"":[[[-82.6920670080626,27.87198122353444],[-82.6920179989501,27.870144072192936],[-82.69196445954309,27.86948415897754],[-82.69163449112644,27.868578948934907],[-82.69140707062199,27.868320335366196],[-82.6908541250854,27.868641352607106],[-82.69019417584686,27.868837549125185],[-82.69012729096767,27.869849758964957],[-82.68943166784152,27.8698185725786],[-82.68925778153861,27.869711548626906],[-82.68931132308154,27.86881084229415],[-82.68782194634385,27.86881083086942],[-82.68780415369146,27.870509739157377],[-82.6853783784148,27.870465106405696],[-82.68515093694359,27.87005044321751],[-82.68509747449512,27.86934590350324],[-82.6853783784148,27.869270112382086],[-82.68539172338146,27.868837544073738],[-82.68151679501274,27.868806397106027],[-82.68157923980571,27.86959116792216],[-82.68140088480285,27.869818565696963],[-82.6808078201567,27.869435082494192],[-82.68062946312764,27.86812855094406],[-82.68124477230272,27.867517651655525],[-82.68102629658117,27.865002760423902],[-82.68096829989146,27.864828876682985],[-82.67970191664197,27.86479313852012],[-82.67976436310386,27.870483008407607],[-82.67976436310386,27.87114735895225],[-82.68065170629309,27.872016896870104],[-82.68100397115677,27.872262142069033],[-82.68240864619983,27.87249851432753],[-82.68879847573629,27.87258772028102],[-82.68967252146344,27.872614412705087],[-82.69009607251012,27.872614461498717],[-82.69008717648263,27.87200796087108],[-82.6920670080626,27.87198122353444]]]}"
00000000000000000002,L10139371,0.03250489356243133,0.06983791456544187,0.11666597595285089,0.11813483451630222,0.17957627806260387,1.618288685133892,0.11071554717804609,0.03819921152929522,0.1738095790249302,0.16051306215713815,"{""type"":""Polygon"",""coordinates"":[[[-123.05906471326966,44.15175785694156],[-123.05885967371621,44.148114741682775],[-123.05518982885363,44.14809251702629],[-123.05612174633544,44.15175789779187],[-123.05906471326966,44.15175785694156]]]}"
00000000000000000003,L1024020,0.032356382012070924,0.3086938874901818,0.08827957298466449,0.03506286118169597,0.11141409897415079,3.6400940305183105,0.0936986932134334,0.040279015083952256,0.25205970727257787,0.03811492692367729,"{""type"":""Polygon"",""coordinates"":[[[-83.98549173701092,35.72298672741593],[-83.98422086927398,35.72262992283354],[-83.98403802294169,35.72262992186262],[-83.98303473977862,35.72338356372303],[-83.98198687729717,35.72401673477328],[-83.98156328708872,35.7243601226249],[-83.98191995233931,35.72578700635028],[-83.98276720557209,35.72539903986058],[-83.98321758912547,35.725109212164945],[-83.98357432540874,35.72484168538037],[-83.98403802294169,35.724810470307325],[-83.98451519824246,35.72448942797159],[-83.98488524668622,35.72389635827966],[-83.98524197319303,35.72342366719889],[-83.98549173701092,35.72298672741593]]]}"
00000000000000000004,L1052691,0.033064923484929454,0.2663854257673327,0.09256146265077665,0.11218166334180454,0.14385107994027638,3.8152331027039517,0.06532935630586983,0.03538151599733509,0.17604131003768464,0.07516127524754862,"{""type"":""Polygon"",""coordinates"":[[[-122.19015540982181,47.77628020319562],[-122.18937514865394,47.77634261756162],[-122.18834949113871,47.77632921260248],[-122.18719909455186,47.776306937137264],[-122.18583899353888,47.77625790319064],[-122.18640535557854,47.77730581476092],[-122.18657918241094,47.777635759783664],[-122.18688243359273,47.778086150579234],[-122.18690029069903,47.77857666451431],[-122.18813548281793,47.77827783456977],[-122.18764043811537,47.7774930658368],[-122.18932161211507,47.777163121941264],[-122.18967383782002,47.77695800391506],[-122.19003056934508,47.77641400653748],[-122.19015540982181,47.77628020319562]]]}"
00000000000000000005,L1060269,0.041388237570575775,0.2673685030626215,0.09522900890173586,0.055304449284947856,0.18969406710975092,3.782421824811716,0.07774130317942139,0.04030330852902504,0.1301567814313736,0.10277191278405999,"{""type"":""Polygon"",""coordinates"":[[[-79.83933931106547,40.53945345958363],[-79.83882651867339,40.53946682448232],[-79.83854110084873,40.53949363466892],[-79.83773399340379,40.5398191401432],[-79.83743079195384,40.539961817235586],[-79.83577201286195,40.54031404975935],[-79.83545093870349,40.54033193245389],[-79.83489803190825,40.540532599145905],[-79.8347865611027,40.540635176714915],[-79.83432725544962,40.54080902674487],[-79.83385461179788,40.54099636322532],[-79.8338099887724,40.54104986419821],[-79.83389923480085,40.54124602881874],[-79.83109888401547,40.541785624635985],[-79.82974774587962,40.542048638362886],[-79.82930183584405,40.542160127627476],[-79.82799085073985,40.54245002361826],[-79.82666206394545,40.542748768741006],[-79.82587724708407,40.542864686055026],[-79.82569001850375,40.543074281312705],[-79.82537788449663,40.54328831696292],[-79.82495871184234,40.54338640950102],[-79.824624261423,40.54347112059772],[-79.82436564283692,40.54362722330439],[-79.8242942554247,40.5437698947205],[-79.824624261423,40.543894774570354],[-79.82542242628342,40.54368965441846],[-79.82729974389218,40.54330614163368],[-79.82894064364781,40.54296723286577],[-79.83021596609521,40.54272647430193],[-79.83255258472117,40.54220474744983],[-79.8335513970414,40.54187923006431],[-79.83520124204622,40.54134859637592],[-79.83687345249015,40.54086253974679],[-79.83741292637218,40.54071090849126],[-79.8381977263412,40.540318531640665],[-79.83857230110505,40.54008224063327],[-79.83898260482071,40.53976116052771],[-79.83933931106547,40.53945345958363]]]}"
00000000000000000006,L10640076,0.03327629380568184,0.24632968304017377,0.18437810027253937,0.05333642397904127,0.08651184170596309,3.717927815527465,0.08055889881586308,0.035772530888897536,0.23147405505206337,0.0483203469131331,"{""type"":""Polygon"",""coordinates"":[[[-86.39180548117974,35.83976606680985],[-86.39130162030612,35.839690324283325],[-86.39126143486553,35.839623391980865],[-86.39127039931276,35.83948962550011],[-86.3912168444448,35.8394093297072],[-86.39122132667258,35.83932462204497],[-86.39098948677965,35.83930679583892],[-86.39099389174757,35.83883859243936],[-86.39003522251842,35.8387360149587],[-86.39007084932805,35.8384283743701],[-86.38890705291115,35.83832130695466],[-86.38887583043008,35.83820985158829],[-86.38818916279264,35.838076101238194],[-86.38748463281908,35.83785763319812],[-86.38721258700966,35.838000303700284],[-86.38735973924393,35.83807160742361],[-86.3875113736061,35.838165232357575],[-86.38775211733419,35.83845954884699],[-86.3880152724819,35.83873160051322],[-86.38837194018187,35.839137330070116],[-86.38833631216788,35.83918637007318],[-86.38830957181973,35.83923102288747],[-86.38833182968277,35.83928453926109],[-86.38830060684435,35.83948960032974],[-86.38895612781126,35.83999352305584],[-86.3896695246088,35.84044831833168],[-86.38970074659679,35.8405687447515],[-86.39035624930145,35.840635572703476],[-86.39066838676129,35.84072036936578],[-86.39103407740213,35.84084515845231],[-86.39118562339875,35.840987882593154],[-86.39137743159789,35.84072481138438],[-86.39156019739171,35.84073817638583],[-86.39161815680694,35.84064900488316],[-86.39161815680694,35.84047508583752],[-86.39165385977346,35.84024764109877],[-86.39180548117974,35.83976606680985]]]}"
00000000000000000007,L1092125,0.19387144119405167,0.06362080365545379,0.07438081261328257,0.05768716298562285,0.07483309427710165,3.926498929993343,0.21616001745196498,0.049651657643831414,0.0753606510564933,0.19439311288767144,"{""type"":""Polygon"",""coordinates"":[[[-111.90064147963987,34.82727370173716],[-111.90042305668861,34.82715770247229],[-111.8999147070171,34.82713988272236],[-111.89913435193918,34.82716666466121],[-111.8990272782592,34.82695710848571],[-111.89875081527798,34.82705523444229],[-111.89846097943743,34.82708194771029],[-111.89824255636883,34.82694814044033],[-111.89789913815109,34.82672073269446],[-111.8972615173359,34.82646656746569],[-111.8967799129619,34.826257011971244],[-111.89608434296336,34.827215691486636],[-111.89541542757642,34.8281342977944],[-111.89460832593409,34.829373936288576],[-111.89465735972863,34.82958352493232],[-111.89477334875792,34.82963704549735],[-111.89748448904332,34.830907888326564],[-111.89789913815109,34.831277973706584],[-111.90039176243722,34.83249972805075],[-111.90056124263874,34.83245070649756],[-111.90064147963987,34.83228123513613],[-111.90064147963987,34.82727370173716]]]}"
00000000000000000008,L11032501,0.04452439341125696,0.03130862160205546,0.03588172281921172,0.03876695539890304,0.035140125489205025,0.10227611385858096,0.04506315359982304,0.04444914249801078,0.10248148391413088,0.6223473919394918,"{""type"":""Polygon"",""coordinates"":[[[-122.10965079875909,47.44274387025802],[-122.10928075157724,47.4414864244698],[-122.10890611243086,47.440429635684794],[-122.10883476691245,47.43947091594002],[-122.10842460554434,47.439020568492076],[-122.10756842764597,47.438463138593704],[-122.10433112687424,47.43665275546109],[-122.10302467772499,47.43672857840803],[-122.1015753424844,47.43728147212446],[-122.10202128794505,47.438565705922095],[-122.10284175246794,47.43906959812852],[-122.10455406806153,47.43992570841843],[-122.10581604365592,47.44067931581315],[-122.10585610544855,47.44158899552632],[-122.10544588785943,47.44183869607619],[-122.10559308520988,47.44252095922667],[-122.10566883171141,47.44339938144059],[-122.10529871038783,47.44465682181325],[-122.1052987396028,47.44564232245437],[-122.10641351315837,47.44611946901029],[-122.10793853044434,47.44619519134862],[-122.10872330868185,47.445441614237616],[-122.1095394239987,47.44425553593033],[-122.10965079875909,47.44274387025802]]]}"
00000000000000000009,L11093693,0.05117711442831015,0.03734152923353037,0.03418193922764261,0.042719367707252424,0.04006691118997155,7.553880840449008,0.10826674513537571,0.5414685089707014,0.08126175198888065,0.06347740491914311,"{""type"":""Polygon"",""coordinates"":[[[-78.25994800101739,42.30519950884156],[-78.2598186939557,42.30513711105694],[-78.2592256000404,42.30521732758662],[-78.2584140335505,42.30517726615247],[-78.25739294030183,42.30514599877449],[-78.25669728765757,42.305074682537246],[-78.2560685457763,42.3049587441378],[-78.25472640602099,42.304873982007436],[-78.25385683904291,42.30483389111453],[-78.25325484695469,42.3049944337671],[-78.25324155042512,42.30503903710346],[-78.2535090449893,42.305391251775696],[-78.25373204350853,42.30625189348341],[-78.25494931504042,42.305841635301924],[-78.25607306473628,42.30584165000436],[-78.25685788345723,42.305921900533214],[-78.25736174248726,42.306314283484625],[-78.25778982087967,42.30663089120719],[-78.25832487295447,42.30647482333486],[-78.25888677462135,42.30639457727034],[-78.2592256000404,42.306202850552474],[-78.25943077181074,42.305752490517904],[-78.2596402881839,42.305426943906184],[-78.25994800101739,42.30519950884156]]]}"
